Project,UnsupportedFeatures,ExtraDeps,LocalCompCheck,NoAvlResource
aiomysql-0.0.21,0,0,1,0
blosc-1.10.6,0,1,1,0
breathe-4.31.0,1,1,1,1
buildbot-3.4.0,0,0,1,0
docker-compose-1.29.2,0,0,0,1
discord-1.7.3,1,0,0,1
dopamine_rl-4.0.0,1,0,0,1
fbprophet-0.7.1,0,1,0,1
django-allauth-0.47.0,0,0,0,1
JPype1-1.3.0,1,0,1,0
lightgbm-3.2.1,1,0,0,0
newspaper3k-0.2.8,0,0,1,0
numpy-1.20.3,0,0,0,0
pymongo-3.12.0,0,0,0,0
pyScss-1.3.0,1,0,0,0
pysqlite-2.8.3,1,0,1,0
django-model-utils-4.2.0,0,0,0,1
scikit-learn-1.0,0,1,0,0
typed_ast-1.4.1,0,0,1,0
uvicorn-0.16.0,1,0,0,1
zappa-0.54.0,0,0,1,1
aiogram-2.15,1,0,1,1
kubernetes-18.20.0,0,0,0,1
BeautifulSoup-3.2.2,1,0,0,0
PyMySQL-1.0.2,0,0,0,0
scikit-image-0.19.1,0,1,0,0
moto-2.3.2,1,0,0,1
flower-1.0.0,0,0,0,1
googletrans-3.0.0,0,0,0,1
mkdocs-material-7.3.0,1,0,0,1
markovify-0.9.0,1,0,0,0
OpenNMT-tf-2.22.0,0,0,0,1
adafruit-circuitpython-busdevice-5.1.1,1,0,0,1
pyjnius-1.4.1,1,0,0,0
pytest-console-scripts-1.2.2,1,0,0,0
zigpy-0.42.0,1,0,0,1
buildozer-1.2.0,0,0,1,0
multiprocess-0.70.12.2,0,0,1,0
beanstalkc-0.4.0,1,0,0,0
biopython-1.77,1,0,1,0
mimesis-4.1.3,1,0,0,0
python-chess-1.999,0,0,0,1
pandas-1.3.5,0,1,0,0
sklearn-pandas-2.2.0,0,0,0,1
category_encoders-2.3.0,1,1,0,0
scikit-optimize-0.9.0,0,0,0,0
nltk-3.5,0,0,0,0
Inject-4.3.1,1,0,0,0
djangocms-text-ckeditor-4.0.0,0,0,0,0
horizon-20.2.0,0,0,0,1
